candidate_id,formula,pilot_or_new,selection_rule,freeze_timestamp,timestamp_source,result_known_at_freeze,Gate_round,Greedy_round,DFT_status,relaxation_output_available,static_output_available,failure_stage,failure_reason,main_text_selected,selection_reason,raw_job_path,final_cif_path,sha256,sha256_subject,relaxation_evidence_available,relaxation_evidence_type,pilot_selection_query_rank,pilot_selection_iteration,pilot_selection_round_source,selection_file_mtime_utc,selection_source_path,selection_source_sha256,historical_remote_job_path
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,LiMn2O4,new,boundary_or_structurally_diverse,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,11,5,static_finished,True,True,,,False,Fifth independent Mn matcher cluster; included for structural diversity away from the exact boundary.,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/final.cif,cb05993a942b8cad592ef6697ed4c0c1a277bdd71c23a9e8645a9a5a6a13a4ce,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,LiMg2O4,new,boundary_or_structurally_diverse;target_boundary;magnesium_chemical_stress_test,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,16,18,static_finished,True,True,,,False,Chemically unusual LiMg2O4 stress test at the lower target boundary; Imm2 preliminary symmetry.,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/final.cif,a0c0b1ad3bcb4516490585387fdca97d0b2693d95ac79f898730c52713997027,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,LiMn2O4,new,gate_early_greedy_late;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,2,14,static_finished,True,True,,,True,Lowest credible converged FM state; strict Fmax <= 0.05 eV/Angstrom; near-target; selected for composition/query-role/structure diversity.,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/final.cif,3e1bee7ad71d21b7a0a406bd301321bc7265d19b2fca6bc22461ac95e2512377,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,LiCr2O4,new,boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,12,15,static_finished,True,True,,,False,R3m Cr structure selected for symmetry and structural diversity near the lower boundary.,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/final.cif,0c4648005ddd446979b55c8592d3fb3edf666c08f6f6babd5c4d316be431db15,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,LiMn2O4,new,boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,11,12,static_finished,True,True,,,False,Mn target-boundary structure from a distinct matcher cluster not represented by the old eight.,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/final.cif,fd382da422bf1d1fc051d8ea351f14434247f0e7d05d2d828d8fd9d0c0371aed,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,LiMg2O4,new,boundary_or_structurally_diverse;target_boundary;magnesium_chemical_stress_test,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,17,18,static_finished,True,True,,,False,Second independent LiMg2O4 stress-test cluster at the lower target boundary; C2/m preliminary symmetry.,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/final.cif,7af941308d8617b8ad0bfe01049a420e862a6b5596bcb7a4c7d53d55b5a6efb5,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,LiCr2O4,new,gate_early_greedy_late;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,4,12,static_finished,True,True,,,True,Lowest credible converged FM state; strict Fmax <= 0.05 eV/Angstrom; near-target; selected for composition/query-role/structure diversity.,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/final.cif,9ccc7810b663577bc2ee79c0ab369e8e8423912f1ec6dd5528991037e5818d5d,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,LiCr2O4,new,early_both;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,5,1,static_finished,True,True,,,False,Early by both methods; Cr lower-boundary structure with a distinct Pm preliminary symmetry.,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/final.cif,43050285133789401e37968cd11014568a56dec397d1301e818da489408db41a,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,LiMn2O4,new,gate_early_greedy_late;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,3,12,failed,True,True,02_pbe_static,VASP return/electronic convergence failure,False,Gate round 3 versus Greedy round 12; distinct Mn cluster and upper-boundary representative.,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/final.cif,bd3f5ea83f43dbfdd676edc204939e2a37259b32b6f2f923d2d0c449bbb4e2a8,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,LiMn2O4,new,early_both;boundary_or_structurally_diverse;target_boundary,2026-07-12T16:19:06.310516+00:00,filesystem_last_write_time_utc_of_new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv; not an independently signed clock,false,6,3,failed,True,True,02_pbe_static,VASP return/electronic convergence failure,False,Early by both methods; distinct Mn cluster near the upper boundary.,new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3/final.cif,cec12d7b2ca5f23ad4af8b2ef0179ae4f2423e7d3feb796ac806b4c54aca710d,new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3/final.cif,True,stage-specific original OUTCAR and OSZICAR,,,not_applicable,2026-07-12T16:19:06.310516+00:00,new12_dft_prelaunch/NEW12_DFT_CANDIDATE_MANIFEST.csv,7266d52bdff54e1ded6d12cb2ef04a3ae48424362f27f3ea1a648788c2d25b85,/root/dft_limo_new12_20260712/candidate_inputs/*job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3
